# x, y, T_numerical, T_analytical
0.0400802, 0.541082, 11.2834, 11.2834
0.0400802, 0.551102, 11.2317, 11.2317
0.0400802, 0.561122, 11.1689, 11.1689
0.0400802, 0.571142, 11.0951, 11.0951
0.0400802, 0.581162, 11.0102, 11.0102
0.0400802, 0.591182, 10.9144, 10.9144
0.0400802, 0.601202, 10.8078, 10.8078
0.0400802, 0.611222, 10.6905, 10.6905
0.0400802, 0.621242, 10.5626, 10.5626
0.0400802, 0.631263, 10.4243, 10.4243
0.0400802, 0.641283, 10.2756, 10.2756
0.0400802, 0.651303, 10.1167, 10.1167
0.0400802, 0.661323, 9.9478, 9.94781
0.0400802, 0.671343, 9.76905, 9.76905
0.0400802, 0.681363, 9.58062, 9.58062
0.0400802, 0.691383, 9.3827, 9.3827
0.0400802, 0.701403, 9.17548, 9.17548
0.0400802, 0.711423, 8.95917, 8.95917
0.0400802, 0.721443, 8.73398, 8.73398
0.0400802, 0.731463, 8.50013, 8.50014
0.0400802, 0.741483, 8.25787, 8.25787
0.0400802, 0.751503, 8.00742, 8.00742
0.0400802, 0.761523, 7.74904, 7.74904
0.0400802, 0.771543, 7.48298, 7.48298
0.0400802, 0.781563, 7.20951, 7.20951
0.0400802, 0.791583, 6.92889, 6.92889
0.0400802, 0.801603, 6.64141, 6.64141
0.0400802, 0.811623, 6.34734, 6.34734
0.0400802, 0.821643, 6.04699, 6.04699
0.0400802, 0.831663, 5.74065, 5.74065
0.0400802, 0.841683, 5.42862, 5.42862
0.0400802, 0.851703, 5.1112, 5.1112
0.0400802, 0.861723, 4.78873, 4.78873
0.0400802, 0.871743, 4.46151, 4.46151
0.0400802, 0.881764, 4.12987, 4.12987
0.0400802, 0.891784, 3.79413, 3.79413
0.0400802, 0.901804, 3.45464, 3.45464
0.0400802, 0.911824, 3.11173, 3.11173
0.0400802, 0.921844, 2.76573, 2.76573
0.0400802, 0.931864, 2.41699, 2.41699
0.0400802, 0.941884, 2.06586, 2.06586
0.0400802, 0.951904, 1.71267, 1.71267
0.0400802, 0.961924, 1.3578, 1.3578
0.0400802, 0.971944, 1.00157, 1.00157
0.0400802, 0.981964, 0.644358, 0.644358
0.0400802, 0.991984, 0.286505, 0.286505
0.0501002, 0, 0, 0
0.0501002, 0.01002, 0.446971, 0.446971
0.0501002, 0.0200401, 0.893499, 0.893499
0.0501002, 0.0300601, 1.33914, 1.33914
0.0501002, 0.0400802, 1.78346, 1.78346
0.0501002, 0.0501002, 2.22601, 2.22601
0.0501002, 0.0601202, 2.66635, 2.66635
0.0501002, 0.0701403, 3.10405, 3.10405
0.0501002, 0.0801603, 3.53868, 3.53868
0.0501002, 0.0901804, 3.9698, 3.9698
0.0501002, 0.1002, 4.39698, 4.39698
0.0501002, 0.11022, 4.81981, 4.81981
0.0501002, 0.12024, 5.23786, 5.23787
0.0501002, 0.130261, 5.65073, 5.65073
0.0501002, 0.140281, 6.05799, 6.05799
0.0501002, 0.150301, 6.45926, 6.45926
0.0501002, 0.160321, 6.85412, 6.85412
0.0501002, 0.170341, 7.24219, 7.24219
0.0501002, 0.180361, 7.62308, 7.62308
0.0501002, 0.190381, 7.99643, 7.99643
0.0501002, 0.200401, 8.36184, 8.36184
0.0501002, 0.210421, 8.71898, 8.71898
0.0501002, 0.220441, 9.06747, 9.06747
0.0501002, 0.230461, 9.40698, 9.40698
0.0501002, 0.240481, 9.73717, 9.73717
0.0501002, 0.250501, 10.0577, 10.0577
0.0501002, 0.260521, 10.3683, 10.3683
0.0501002, 0.270541, 10.6686, 10.6686
0.0501002, 0.280561, 10.9583, 10.9583
0.0501002, 0.290581, 11.2372, 11.2372
0.0501002, 0.300601, 11.5049, 11.5049
0.0501002, 0.310621, 11.7613, 11.7613
0.0501002, 0.320641, 12.006, 12.006
0.0501002, 0.330661, 12.2388, 12.2388
0.0501002, 0.340681, 12.4594, 12.4594
0.0501002, 0.350701, 12.6677, 12.6677
0.0501002, 0.360721, 12.8635, 12.8635
0.0501002, 0.370741, 13.0465, 13.0465
0.0501002, 0.380762, 13.2166, 13.2166
0.0501002, 0.390782, 13.3736, 13.3736
0.0501002, 0.400802, 13.5174, 13.5174
0.0501002, 0.410822, 13.6477, 13.6477
0.0501002, 0.420842, 13.7645, 13.7645
0.0501002, 0.430862, 13.8677, 13.8677
0.0501002, 0.440882, 13.9572, 13.9572
0.0501002, 0.450902, 14.0328, 14.0328
0.0501002, 0.460922, 14.0945, 14.0945
0.0501002, 0.470942, 14.1423, 14.1423
0.0501002, 0.480962, 14.176, 14.176
0.0501002, 0.490982, 14.1957, 14.1957
0.0501002, 0.501002, 14.2013, 14.2013
0.0501002, 0.511022, 14.1929, 14.1929
0.0501002, 0.521042, 14.1704, 14.1704
0.0501002, 0.531062, 14.1339, 14.1339
0.0501002, 0.541082, 14.0833, 14.0833
0.0501002, 0.551102, 14.0188, 14.0188
0.0501002, 0.561122, 13.9404, 13.9404
0.0501002, 0.571142, 13.8482, 13.8482
0.0501002, 0.581162, 13.7423, 13.7423
0.0501002, 0.591182, 13.6227, 13.6227
0.0501002, 0.601202, 13.4897, 13.4897
0.0501002, 0.611222, 13.3433, 13.3433
0.0501002, 0.621242, 13.1836, 13.1836
0.0501002, 0.631263, 13.0109, 13.0109
0.0501002, 0.641283, 12.8254, 12.8254
0.0501002, 0.651303, 12.6271, 12.6271
0.0501002, 0.661323, 12.4163, 12.4163
0.0501002, 0.671343, 12.1932, 12.1932
0.0501002, 0.681363, 11.958, 11.958
0.0501002, 0.691383, 11.7109, 11.7109
0.0501002, 0.701403, 11.4523, 11.4523
0.0501002, 0.711423, 11.1823, 11.1823
0.0501002, 0.721443, 10.9012, 10.9012
0.0501002, 0.731463, 10.6094, 10.6094
0.0501002, 0.741483, 10.307, 10.307
0.0501002, 0.751503, 9.99439, 9.99439
0.0501002, 0.761523, 9.67189, 9.6719
0.0501002, 0.771543, 9.33981, 9.33982
0.0501002, 0.781563, 8.99848, 8.99848
0.0501002, 0.791583, 8.64823, 8.64823
0.0501002, 0.801603, 8.28941, 8.28941
0.0501002, 0.811623, 7.92238, 7.92238
0.0501002, 0.821643, 7.5475, 7.5475
0.0501002, 0.831663, 7.16514, 7.16514
0.0501002, 0.841683, 6.77568, 6.77568
0.0501002, 0.851703, 6.3795, 6.3795
0.0501002, 0.861723, 5.97701, 5.97701
